연번,기관,공원종류,공원명,상세주소,공원면적(m),최초시설결정일,x좌표,y좌표
576,기장군,어린이공원,이동공원,기장군 일광읍 이천리 170-7 일원,1500,부고17호(2007.01.10),129.2474952,35.27200779
577,기장군,어린이공원,강송정공원,기장군 일광읍 이천리 844 일원,1588.6,경남고111호(1986.05.28),129.235516,35.26550112
578,기장군,어린이공원,햇님공원,기장군 일광읍 이천리 925번지,2128,경남고111호(1986.05.28),129.2361182,35.26797033
579,기장군,어린이공원,사택공원,기장군 일광읍 이천리 552-1 일원,1597.4,기고33호(2006.04.26),129.2401399,35.26868127
580,기장군,어린이공원,월내공원,기장군 장안읍 월내리 257-6번지,4578,부고295호(2006.08.30),129.2800908,35.32892478
581,기장군,어린이공원,효암공원,기장군 장안읍 임랑리 386-1번지,1679.9,부고169호(2000.06.30),129.259496,35.31504334
582,기장군,어린이공원,좌천1공원,기장군 장안읍 좌천리 산24-1번지 일원,4001,부고295호(2006.08.30),129.2391155,35.31397408
583,기장군,어린이공원,좌천2공원,기장군 장안읍 좌동리 554-1번지 일원,1420,부고295호(2006.08.30),129.2454866,35.31408084
584,기장군,어린이공원,좌천3공원,기장군 장안읍 좌천리 72-7번지 일원,1758,부고295호(2006.08.30),129.2402375,35.31130665
585,기장군,어린이공원,제1호공원,기장군 정관읍 달산리 1054번지,1885.1,부고265호(2001.10.25),129.1818258,35.31521574
586,기장군,어린이공원,제2호공원,기장군 정관읍 달산리 1124-7번지,1653,부고160호(2004.06.24),129.2040506,35.32014145
587,기장군,어린이공원,나래울공원,기장군 정관읍 달산리 1198번지,2199.1,부고17호(2002.01.31),129.1847064,35.32088192
588,기장군,어린이공원,동구래공원,기장군 정관읍 달산리 1208번지,2000.1,부고17호(2002.01.31),129.1882085,35.3185496
589,기장군,어린이공원,뵤뵤공원,기장군 정관읍 매학리 769-5번지,1830.2,부고338호(2003.01.09),129.1829631,35.32005905
590,기장군,어린이공원,햇돌공원,기장군 정관읍 매학리 722번지,1995.3,부고17호(2002.01.31),129.1755274,35.31981857
591,기장군,어린이공원,애솔어린이공원,기장군 정관읍 매학리 796번지,2194.1,부고338호(2003.01.09),129.1826091,35.31883977
592,기장군,어린이공원,모전공원,기장군 정관읍 모전리 690번지,2719.4,부고17호(2002.01.31),129.1705063,35.33641822
593,기장군,어린이공원,바람개비공원,기장군 정관읍 모전리 709번지,2358.6,부고17호(2002.01.31),129.1587329,35.33968071
594,기장군,어린이공원,둥지공원,기장군 정관읍 모전리 718번지,1927.7,부고17호(2002.01.31),129.1617729,35.34010044
595,기장군,어린이공원,새늘공원,기장군 정관읍 모전리 733번지,2000.9,부고17호(2002.01.31),129.1634449,35.3347419
596,기장군,어린이공원,하늘아리공원,기장군 정관읍 모전리 773번지,2000,부고17호(2002.01.31),129.1652844,35.33121838
597,기장군,어린이공원,옛터공원,기장군 정관읍 방곡리 389-3번지,2121.1,부고338호(2003.01.09),129.1899849,35.3264793
598,기장군,어린이공원,꽃보라공원,기장군 정관읍 방곡리 411번지,2449.9,부고17호(2002.01.31),129.1874162,35.32305747
599,기장군,어린이공원,산골공원,기장군 정관읍 용수리 1277번지,2026.5,부고17호(2002.01.31),129.1812937,35.32959528
600,기장군,어린이공원,어울공원,기장군 정관읍 용수리 1290-3번지,1871.8,부고17호(2002.01.31),129.1799784,35.32749952
601,기장군,어린이공원,해오름공원,기장군 정관읍 용수리 1300 일원,1912.1,부고17호(2002.01.31),129.1815608,35.32727914
602,기장군,어린이공원,동그라미공원,기장군 정관읍 용수리 1320번지,2102.7,부고17호(2002.01.31),129.1750687,35.32632552
603,기장군,어린이공원,해밀공원,기장군 정관읍 용수리 1361번지,2000.1,부고17호(2002.01.31),129.1686472,35.32563045
604,기장군,어린이공원,얼레공원,기장군 정관읍 용수리 1394번지,5427.3,부고17호(2002.01.31),129.171217,35.32249311
605,기장군,어린이공원,월평공원,기장군 정관읍 월평리 203-6번지 일원,2037,부고274호(2006.07.26),129.1367891,35.3620797
606,기장군,어린이공원,임곡1공원,기장군 정관읍 임곡리 220-1번지 일원,1517,부고274호(2006.07.26),129.1412299,35.35093827
607,기장군,어린이공원,임곡2공원,기장군 정관읍 임곡리 80번지 일원,1539,부고274호(2006.07.26),129.1355283,35.35431973
608,기장군,어린이공원,소나무공원,기장군 철마면 고촌리 657번지,1500.3,건설부291호(2003.11.28),129.1716251,35.2399419
609,기장군,어린이공원,고촌공원,기장군 철마면 고촌리 산7-3번지 일원,1514,부고456호(2007.11.28),129.1719745,35.24324471
610,기장군,어린이공원,입석공원,기장군 철마면 송정리 190-2번지 일원,3321,부고274호(2006.07.26),129.1168191,35.31156761
611,기장군,어린이공원,송정공원,기장군 철마면 송정리 552-3번지 일원,1550,부고274호(2006.07.26),129.1131054,35.30433263
612,기장군,어린이공원,안평1공원,기장군 철마면 안평리 229-3번지 일원,2064,부고274호(2006.07.26),129.1777579,35.2362227
613,기장군,어린이공원,안평2공원,기장군 철마면 안평리 506-12번지 일원,1643,부고274호(2006.07.26),129.1755869,35.23716069
614,기장군,어린이공원,임기2공원,기장군 철마면 임기리 452번지 일원,1946,부고274호(2006.07.26),129.121874,35.31877182
615,중구,소공원,오름소공원,중구 동광동5가 14-1번지 일원,3758.5,중구33호(2018.10.10.),129.0328262,35.10855766
616,서구,소공원,솔바람공원,서구 암남동 776번지,1960.1,서고61호(2015.11.25.),129.0226532,35.07916255
617,서구,소공원,솔마루공원,서구 암남동 777번지,2146.3,서고61호(2015.11.25.),129.0236023,35.07857782
618,서구,소공원,윤슬공원,서구 암남동 790번지,1080.5,부고357호(2019.12.11.),129.0137356,35.07692545
619,서구,소공원,소공원,서구 암남동 118-11번지 일원,416.3,서고74호(2021.09.06.),129.0217696,35.08148586
620,서구,소공원,소공원,서구 서대신동3가 30-2번지 일원,572,서고78호(2023.11.15.),129.0097474,35.12138202
621,서구,소공원,소공원,서구 아미동2가 216-239번지 일원,842,부고268호(2022.07.06.),129.0129424,35.1005946
622,동구,소공원,희망공원,동구 범일동 62-255번지 일원,1422.1,부고425호(2021.11.03.),129.0576017,35.1410782
623,동구,소공원,소망공원,동구 범일동 62-270번지 일원,407.9,부고188호(2018.05.30.),129.0581495,35.14071298
624,동구,소공원,성남소공원,동구 범일동 1666,500,부고18호(2023.02.01.),129.058505,35.13292998
625,동구,소공원,범일공원,동구 범일동 252-941 일원,1461,부고138호(2024.05.08.),129.0575966,35.13338003
626,동구,소공원,소공원,동구 좌천동 23-4 일원,959.8,부고138호(2024.05.08.),129.0558429,35.13340779
627,동구,소공원,소공원,동구 좌천동 68-530 일원,2893,부고138호(2024.05.08.),129.0562264,35.13145141
628,동구,소공원,좌천해마루공원,동구 좌천동 931-9 수정동 1105-107,113,동고21호(2016.03.30),129.047126,35.13651426
629,동구,소공원,햇살공원,동구 초량동 754-142번지 일원,819,부고19호(2021.01.20.),129.0342815,35.12547156
630,영도구,소공원,푸른소공원,영도구 봉래동4가 361,705,부고95호(2020.3.18.),129.0464127,35.09303374
631,영도구,소공원,하늘소공원,영도구 봉래동4가 349,960.9,부고95호(2020.3.18.),129.0493595,35.09231059
632,영도구,소공원,소공원,영도구 영선동4가 466번지 일원,1466.5,부고245호(2009.06.10),129.0438222,35.08003885
633,영도구,소공원,소공원,영도구 영선동4가 91번지 일원,1838,부고241호(2021.06.23.),129.0407986,35.08313646
634,영도구,소공원,소공원,영도구 영선동4가 238-2번지 일원,3917,부고241호(2021.06.23.),129.0437298,35.08124683
635,영도구,소공원,소공원,영도구 신선동3가 100번지 일원,1764,부고241호(2021.06.23.),129.0465941,35.08313055
636,영도구,소공원,청학1공원,영도구 청학동 99-253번지 일원,2000,부고434호(2024.12.4.),129.0634342,35.09128732
637,영도구,소공원,청학2공원,영도구 청학동 62-51번지 일원,755,부고273호(2023.07.26.),129.0671925,35.08968484
638,영도구,소공원,소공원,영도구 동삼동 654-1번지 일원,370,부고332호(2023.09.13.),129.0704986,35.07117911
639,영도구,소공원,소공원(631),영도구 동삼동 1174-6번지 일원,961.9,부고28호(2010.01.27),129.0815826,35.06973903
640,영도구,소공원,소공원(632),영도구 동삼동 1179번지 일원,2699.7,부고28호(2010.01.27),129.0825949,35.06854749
641,부산진구,소공원,소공원,부산진구 가야1동 415-7번지 일원,1313,부고35호(2021.02.03.),129.0349904,35.14851004
642,부산진구,소공원,소공원,부산진구 가야1동 389-17번지 일원,1436,부고395호(2017.12.13),129.0370168,35.15147987
643,부산진구,소공원,몰리 소공원,부산진구 가야동 700-4,341.5,부고79호(2021.03.10.),129.0299627,35.15250582
644,부산진구,소공원,가야동공원3,부산진구 가야동 611-18번지 일원,5127,부고65호(2024.3.13.),129.0274389,35.14847977
645,부산진구,소공원,소공원,부산진구 범전동 212-11 일원,2122,부고123호(2020.04.15.),129.05481,35.16378301
646,부산진구,소공원,소공원,부산진구 범전동 32-15번지 일원,11313,부고123호(2020.04.15.),129.0630616,35.16751328
647,부산진구,소공원,소공원,부산진구 범천동 1227-11번지 일원,3291,부고16호(2021.01.20.),129.0507425,35.14917747
648,부산진구,소공원,소공원,부산진구 범천동 1120-51번지 일원,4098,부산진구115호(2023.08.30.),129.0468934,35.15237183
649,부산진구,소공원,부암1공원,부산진구 부암동 610-1번지 일원,1877,부고8호(2019.1.7.),129.0339419,35.17503235
650,부산진구,소공원,부암2공원,부산진구 부암동 598-1번지 일원,2120,부고8호(2019.1.7.),129.0341283,35.17291979
651,부산진구,소공원,양지공원,부산진구 양정동 528번지 일원,1101.7,부고143호(2007.04.11),129.0806139,35.17204456
652,부산진구,소공원,양정3소공원1,부산진구 양정동 96-26번지 일원,171,부고365호(2021.09.01.),129.073822,35.17334514
653,부산진구,소공원,양정3소공원2,부산진구 양정동 81-4번지 일원,96,부고365호(2021.09.01.),129.0728556,35.17286601
654,부산진구,소공원,양정3소공원3,부산진구 양정동 96-28번지 일원,181,부고365호(2021.09.01.),129.07377,35.17332616
655,부산진구,소공원,양정3소공원4,부산진구 양정동 106-3번지 일원,522,부고389호(2015.10.14),129.0750079,35.17398158
656,부산진구,소공원,햇빛공원,부산진구 양정동 532번지 일원,612.8,부고231호(2023.06.21.),129.0804729,35.17231205
657,부산진구,소공원,양동공원,부산진구 양정동 533번지,1764.6,부고231호(2023.06.21.),129.0801902,35.17130924
658,부산진구,소공원,양지골공원,부산진구 양정동 538번지,1237.7,부고231호(2023.06.21.),129.0781473,35.17080062
659,부산진구,소공원,전포2-1재개발공원,부산진구 전포동 925번지,758,부고23호(2014.01.15),129.0701795,35.15327851
660,부산진구,소공원,전포2-1재개발공원,부산진구 전포동 913번지,844.7,부고23호(2014.01.15),129.0697801,35.15749621
661,부산진구,소공원,전포2-1재개발공원,부산진구 전포동 917번지,344.9,부고23호(2014.01.15),129.0706732,35.15775734
662,부산진구,소공원,소공원,부산진구 당감동 500-28번지 일원,2447,부고380호(2024.11.6.),129.0360983,35.16145462
663,부산진구,소공원,연누리 소공원,부산진구 연지동 434번지,2559.9,부고509호(2021.12.15.),129.0506043,35.17281373
664,부산진구,소공원,연빛 소공원,부산진구 연지동 429번지,4034.4,부고509호(2021.12.15.),129.0518307,35.17275532
665,부산진구,소공원,연마루 소공원,부산진구 연지동 419번지,1260.4,부고509호(2021.12.15.),129.0496366,35.17655936
666,부산진구,소공원,소공원,부산진구 초읍동 140-5번지 일원,509,부고37호(2022.02.09.),129.0456965,35.1801305
667,부산진구,소공원,소공원,부산진구 초읍동 124-1번지 일원,310,부고37호(2022.02.09.),129.0468598,35.177703
668,동래구,소공원,SWITZEN PARK,동래구 사직2동 1037번지,666.3,부고252호(2006.07.05),129.0575805,35.19896429
669,동래구,소공원,소공원,동래구 사직동 15-1번지 일원,392,부고156호(2022.05.04.),129.0610875,35.20124163
670,동래구,소공원,소공원,동래구 명장동 152-4번지 일원,4064.2,부고355호(2022.09.07.),129.1095955,35.20179091
671,동래구,소공원,명장소공원,동래구 명장동 334-2번지 일원,2820,동고37호(2013.07.03),129.104275,35.20952958
672,동래구,소공원,대명소공원,동래구 명장동 508-95,837,부고24호(2021.01.20.),129.0982328,35.21132602
673,동래구,소공원,소공원,동래구 명장동 24-1번지 일원,670,부고30호(2024.02.07.),129.1010587,35.20545965
674,동래구,소공원,명장A공원,동래구 명장동 65-19번지 일원,3175,부고339호(2025.08.27.),129.1015339,35.20324062
